onset	duration	value	trial_type	correct_audio_response	correct_video_response	correct_both_response
13.16000	5.000	1	Left	1	1	1
106.50000	5.000	1	Right	1	1	1
172.66000	5.000	1	Right	0	1	0
202.00000	5.000	1	Left	1	1	1
272.30000	5.000	1	Right	1	1	1
309.78000	5.000	1	Left	1	1	1
400.98000	5.000	1	Left	1	1	1
517.28000	5.000	1	Left	1	1	1
548.72000	5.000	1	Left	1	1	1
608.22000	5.000	1	Left	1	1	1
635.98000	5.000	1	Center	1	1	1
670.28000	5.000	1	Right	1	1	1
699.44000	5.000	1	Center	1	1	1
734.18000	5.000	1	Left	1	1	1
795.34000	5.000	1	Right	1	1	1
826.72000	5.000	1	Left	1	1	1
862.82000	5.000	1	Center	1	1	1
896.56000	5.000	1	Center	1	1	1
1017.40000	5.000	1	Left	1	1	1
1075.74000	5.000	1	Right	1	1	1
1133.86000	5.000	1	Right	1	1	1
1164.26000	5.000	1	Left	1	1	1
1290.20000	5.000	1	Center	1	1	1
1355.12000	5.000	1	Right	1	1	1
1388.32000	5.000	1	Right	1	1	1
1417.88000	5.000	1	Left	1	1	1
1448.46000	5.000	1	Center	1	1	1
1478.00000	5.000	1	Left	1	1	1
1510.02000	5.000	1	Left	1	1	1
1599.00000	5.000	1	Center	1	1	1
1664.96000	5.000	1	Center	1	1	1
1694.94000	5.000	1	Right	0	1	0
1739.52000	5.000	1	Center	1	1	1
