onset	duration	value	trial_type	correct_audio_response	correct_video_response	correct_both_response
24.72000	5.000	1	Right	0	1	0
55.74000	5.000	1	Center	1	1	1
79.38000	5.000	1	Center	1	1	1
106.88000	5.000	1	Right	1	1	1
141.98000	5.000	1	Right	1	1	1
171.24000	5.000	1	Left	1	1	1
198.80000	5.000	1	Left	1	1	1
224.56000	5.000	1	Right	1	1	1
251.10000	5.000	1	Center	0	1	0
277.74000	5.000	1	Right	1	1	1
312.18000	5.000	1	Right	1	1	1
340.68000	5.000	1	Right	1	1	1
368.02000	5.000	1	Center	1	1	1
397.20000	5.000	1	Left	1	1	1
424.72000	5.000	1	Right	1	1	1
455.66000	5.000	1	Center	1	1	1
482.80000	5.000	1	Left	1	1	1
513.80000	5.000	1	Right	1	1	1
542.50000	5.000	1	Center	1	1	1
569.42000	5.000	1	Right	1	1	1
596.16000	5.000	1	Left	1	1	1
623.72000	5.000	1	Right	1	1	1
649.92000	5.000	1	Center	1	1	1
676.10000	5.000	1	Left	1	1	1
705.34000	5.000	1	Right	1	1	1
732.04000	5.000	1	Left	1	1	1
760.08000	5.000	1	Left	1	1	1
785.68000	5.000	1	Left	1	1	1
811.10000	5.000	1	Left	1	1	1
837.98000	5.000	1	Right	1	1	1
862.04000	5.000	1	Center	1	1	1
890.52000	5.000	1	Center	1	1	1
915.62000	5.000	1	Left	1	1	1
939.48000	5.000	1	Left	1	1	1
965.28000	5.000	1	Center	1	1	1
992.52000	5.000	1	Right	1	1	1
1018.20000	5.000	1	Left	1	1	1
1043.86000	5.000	1	Right	1	1	1
1077.04000	5.000	1	Center	1	1	1
1102.70000	5.000	1	Center	1	1	1
1131.10000	5.000	1	Left	1	1	1
1161.50000	5.000	1	Center	1	1	1
1187.08000	5.000	1	Left	1	1	1
1217.28000	5.000	1	Center	1	1	1
1249.82000	5.000	1	Right	1	1	1
1273.62000	5.000	1	Center	1	1	1
1298.94000	5.000	1	Center	1	1	1
1326.10000	5.000	1	Right	1	1	1
1349.66000	5.000	1	Center	1	1	1
1375.86000	5.000	1	Right	1	1	1
1399.78000	5.000	1	Right	1	1	1
1425.36000	5.000	1	Left	1	1	1
1449.48000	5.000	1	Left	1	1	1
1478.08000	5.000	1	Right	1	1	1
1505.74000	5.000	1	Left	1	1	1
1530.86000	5.000	1	Right	1	1	1
1561.90000	5.000	1	Right	1	1	1
1585.76000	5.000	1	Center	1	1	1
1612.00000	5.000	1	Center	1	1	1
1637.06000	5.000	1	Left	1	1	1
1662.80000	5.000	1	Left	1	1	1
1687.54000	5.000	1	Center	1	1	1
1714.84000	5.000	1	Center	1	1	1
1740.72000	5.000	1	Left	1	1	1
1766.68000	5.000	1	Center	1	1	1
1792.86000	5.000	1	Left	1	1	1
1817.26000	5.000	1	Left	1	1	1
1844.40000	5.000	1	Left	1	1	1
1868.44000	5.000	1	Right	0	1	0
1899.28000	5.000	1	Left	1	1	1
1925.42000	5.000	1	Right	1	1	1
1950.94000	5.000	1	Right	1	1	1
1980.36000	5.000	1	Right	1	1	1
2006.12000	5.000	1	Right	1	1	1
2032.94000	5.000	1	Center	1	1	1
2058.86000	5.000	1	Left	1	1	1
2084.18000	5.000	1	Right	1	1	1
2109.70000	5.000	1	Left	1	1	1
2134.84000	5.000	1	Right	1	1	1
2158.72000	5.000	1	Center	1	1	1
2181.92000	5.000	1	Center	1	1	1
2205.44000	5.000	1	Right	1	1	1
2233.40000	5.000	1	Center	1	1	1
2259.06000	5.000	1	Center	1	1	1
2286.16000	5.000	1	Center	1	1	1
2310.24000	5.000	1	Left	1	1	1
2336.12000	5.000	1	Left	1	1	1
2363.52000	5.000	1	Center	1	0	0
2391.88000	5.000	1	Left	1	1	1
2415.98000	5.000	1	Center	1	1	1
