onset	duration	value	trial_type	correct_audio_response	correct_video_response	correct_both_response
27.80000	5.000	1	Right	1	1	1
57.90000	5.000	1	Center	1	1	1
84.36000	5.000	1	Right	1	1	1
114.60000	5.000	1	Right	1	0	0
143.64000	5.000	1	Right	1	1	1
173.26000	5.000	1	Center	1	1	1
199.08000	5.000	1	Right	1	1	1
225.68000	5.000	1	Center	0	1	0
250.44000	5.000	1	Center	1	1	1
277.14000	5.000	1	Right	1	1	1
302.62000	5.000	1	Right	1	1	1
327.94000	5.000	1	Left	0	1	0
352.36000	5.000	1	Right	1	1	1
377.72000	5.000	1	Center	1	1	1
404.64000	5.000	1	Right	1	1	1
428.44000	5.000	1	Left	1	1	1
453.50000	5.000	1	Left	1	1	1
478.14000	5.000	1	Center	1	1	1
506.96000	5.000	1	Left	1	1	1
532.82000	5.000	1	Left	1	1	1
561.28000	5.000	1	Left	0	1	0
591.28000	5.000	1	Right	0	1	0
617.02000	5.000	1	Center	1	1	1
640.34000	5.000	1	Right	1	1	1
665.20000	5.000	1	Center	1	1	1
690.48000	5.000	1	Center	1	1	1
713.88000	5.000	1	Center	1	1	1
737.70000	5.000	1	Right	1	1	1
762.76000	5.000	1	Center	1	1	1
789.70000	5.000	1	Left	1	1	1
814.44000	5.000	1	Left	1	1	1
839.78000	5.000	1	Left	0	1	0
883.40000	5.000	1	Center	0	1	0
909.44000	5.000	1	Left	0	1	0
939.14000	5.000	1	Right	1	1	1
963.44000	5.000	1	Right	1	1	1
988.14000	5.000	1	Left	1	1	1
1012.68000	5.000	1	Right	1	1	1
1038.80000	5.000	1	Center	1	1	1
1067.98000	5.000	1	Center	1	1	1
1091.04000	5.000	1	Center	1	1	1
1116.06000	5.000	1	Left	0	1	0
1150.60000	5.000	1	Left	1	1	1
1175.26000	5.000	1	Center	1	1	1
1199.96000	5.000	1	Left	0	1	0
1227.52000	5.000	1	Right	1	1	1
1251.90000	5.000	1	Center	1	1	1
1276.96000	5.000	1	Left	1	1	1
1302.66000	5.000	1	Left	1	1	1
1328.48000	5.000	1	Center	1	1	1
1355.74000	5.000	1	Center	0	1	0
1379.82000	5.000	1	Left	1	1	1
1405.08000	5.000	1	Left	1	1	1
1432.56000	5.000	1	Left	0	1	0
1462.04000	5.000	1	Center	0	1	0
1488.56000	5.000	1	Right	1	1	1
1513.46000	5.000	1	Left	1	1	1
1537.06000	5.000	1	Right	0	1	0
1561.78000	5.000	1	Center	1	1	1
1585.86000	5.000	1	Left	1	1	1
1611.60000	5.000	1	Center	1	1	1
1636.84000	5.000	1	Center	1	1	1
1661.58000	5.000	1	Left	1	1	1
1687.42000	5.000	1	Right	1	1	1
1711.74000	5.000	1	Left	1	1	1
1738.14000	5.000	1	Right	0	1	0
1766.42000	5.000	1	Right	1	1	1
1794.88000	5.000	1	Right	0	1	0
1819.46000	5.000	1	Center	1	1	1
1843.76000	5.000	1	Center	1	1	1
1868.04000	5.000	1	Right	1	0	0
1896.10000	5.000	1	Right	1	1	1
1921.74000	5.000	1	Right	1	1	1
1946.36000	5.000	1	Right	1	1	1
1971.90000	5.000	1	Left	1	1	1
2002.88000	5.000	1	Center	1	1	1
2027.52000	5.000	1	Left	1	1	1
2056.36000	5.000	1	Left	1	1	1
2080.54000	5.000	1	Right	1	1	1
2105.78000	5.000	1	Left	1	1	1
2132.44000	5.000	1	Left	0	1	0
2161.20000	5.000	1	Center	1	1	1
2185.30000	5.000	1	Left	1	1	1
2210.36000	5.000	1	Center	1	1	1
2233.24000	5.000	1	Right	0	1	0
2257.30000	5.000	1	Left	1	1	1
2282.80000	5.000	1	Right	1	1	1
2307.62000	5.000	1	Right	1	1	1
2333.66000	5.000	1	Center	1	1	1
2360.48000	5.000	1	Center	1	1	1
