onset	duration	value	trial_type	correct_audio_response	correct_video_response	correct_both_response
21.74000	5.000	1	Right	1	1	1
51.10000	5.000	1	Center	0	1	0
85.22000	5.000	1	Right	1	1	1
120.64000	5.000	1	Right	1	1	1
149.20000	5.000	1	Right	1	1	1
175.32000	5.000	1	Center	1	1	1
202.74000	5.000	1	Right	1	1	1
233.88000	5.000	1	Center	1	1	1
262.36000	5.000	1	Center	1	1	1
298.60000	5.000	1	Right	1	1	1
324.80000	5.000	1	Right	1	1	1
352.84000	5.000	1	Left	0	1	0
382.66000	5.000	1	Right	1	1	1
408.72000	5.000	1	Center	1	1	1
439.16000	5.000	1	Right	1	1	1
466.34000	5.000	1	Left	1	0	0
496.82000	5.000	1	Left	1	1	1
523.74000	5.000	1	Center	1	1	1
556.82000	5.000	1	Left	1	1	1
586.86000	5.000	1	Left	1	1	1
620.94000	5.000	1	Left	1	1	1
652.26000	5.000	1	Right	0	1	0
685.68000	5.000	1	Center	1	1	1
714.56000	5.000	1	Right	1	1	1
742.28000	5.000	1	Center	0	1	0
774.94000	5.000	1	Center	1	1	1
800.46000	5.000	1	Center	1	1	1
827.34000	5.000	1	Right	1	1	1
851.88000	5.000	1	Center	1	1	1
880.88000	5.000	1	Left	1	1	1
907.70000	5.000	1	Left	1	0	0
937.20000	5.000	1	Left	1	1	1
962.96000	5.000	1	Center	1	1	1
988.36000	5.000	1	Left	0	1	0
1020.86000	5.000	1	Right	1	1	1
1049.66000	5.000	1	Right	1	1	1
1076.44000	5.000	1	Left	1	0	0
1102.00000	5.000	1	Right	1	1	1
1126.54000	5.000	1	Center	1	1	1
1155.22000	5.000	1	Center	1	1	1
1181.40000	5.000	1	Center	1	1	1
1206.34000	5.000	1	Left	1	0	0
1237.00000	5.000	1	Left	1	1	1
1265.38000	5.000	1	Center	0	1	0
1296.62000	5.000	1	Left	1	1	1
1323.24000	5.000	1	Right	1	1	1
1349.10000	5.000	1	Center	1	1	1
1377.72000	5.000	1	Left	1	1	1
1404.38000	5.000	1	Left	1	1	1
1428.00000	5.000	1	Center	1	1	1
1454.28000	5.000	1	Center	1	1	1
1480.52000	5.000	1	Left	1	1	1
1506.30000	5.000	1	Left	0	0	0
1535.06000	5.000	1	Left	0	1	0
1561.58000	5.000	1	Center	1	1	1
1589.46000	5.000	1	Right	1	1	1
1615.72000	5.000	1	Left	1	1	1
1640.98000	5.000	1	Right	1	1	1
1666.32000	5.000	1	Center	1	1	1
1693.46000	5.000	1	Left	1	1	1
1722.54000	5.000	1	Center	1	1	1
1749.66000	5.000	1	Center	1	1	1
1777.86000	5.000	1	Left	0	1	0
1805.52000	5.000	1	Right	1	1	1
1830.86000	5.000	1	Left	1	1	1
1857.04000	5.000	1	Right	1	1	1
1881.12000	5.000	1	Right	0	1	0
1909.92000	5.000	1	Right	1	1	1
1935.34000	5.000	1	Center	1	1	1
1961.76000	5.000	1	Center	1	1	1
1987.02000	5.000	1	Right	1	1	1
2012.02000	5.000	1	Right	1	1	1
2037.22000	5.000	1	Right	1	1	1
2063.88000	5.000	1	Right	1	1	1
2089.52000	5.000	1	Left	0	1	0
2121.86000	5.000	1	Center	1	1	1
2146.30000	5.000	1	Left	0	0	0
2176.98000	5.000	1	Left	1	1	1
2201.74000	5.000	1	Right	1	1	1
2227.12000	5.000	1	Left	1	1	1
2254.16000	5.000	1	Left	1	1	1
2285.00000	5.000	1	Center	1	1	1
2309.96000	5.000	1	Left	0	1	0
2335.48000	5.000	1	Center	1	1	1
2363.78000	5.000	1	Right	1	1	1
2389.84000	5.000	1	Left	1	1	1
2417.40000	5.000	1	Right	1	1	1
2442.52000	5.000	1	Right	1	1	1
2467.24000	5.000	1	Center	1	1	1
2493.36000	5.000	1	Center	1	1	1
