onset	duration	value	trial_type	correct_audio_response	correct_video_response	correct_both_response
18.26000	5.000	1	Left	0	0	0
56.74000	5.000	1	Left	0	0	0
102.40000	5.000	1	Left	0	0	0
133.62000	5.000	1	Left	1	0	0
161.36000	5.000	1	Left	0	0	0
192.54000	5.000	1	Right	0	0	0
231.48000	5.000	1	Left	0	1	0
272.46000	5.000	1	Right	1	1	1
302.06000	5.000	1	Center	0	1	0
331.26000	5.000	1	Center	1	1	1
363.90000	5.000	1	Right	1	1	1
400.82000	5.000	1	Right	1	1	1
431.90000	5.000	1	Right	1	1	1
467.20000	5.000	1	Right	0	0	0
496.04000	5.000	1	Right	1	1	1
523.34000	5.000	1	Right	1	1	1
552.20000	5.000	1	Center	1	1	1
578.60000	5.000	1	Center	1	1	1
603.52000	5.000	1	Left	1	1	1
629.62000	5.000	1	Center	1	1	1
655.62000	5.000	1	Center	1	1	1
682.82000	5.000	1	Left	1	1	1
708.64000	5.000	1	Left	1	1	1
734.54000	5.000	1	Right	1	1	1
763.96000	5.000	1	Right	0	0	0
790.84000	5.000	1	Center	1	1	1
816.42000	5.000	1	Center	0	1	0
845.34000	5.000	1	Center	0	0	0
879.06000	5.000	1	Right	0	0	0
906.80000	5.000	1	Right	0	0	0
934.12000	5.000	1	Left	0	0	0
960.82000	5.000	1	Center	0	1	0
988.38000	5.000	1	Center	0	0	0
1029.02000	5.000	1	Center	1	1	1
1056.44000	5.000	1	Center	1	1	1
1085.40000	5.000	1	Left	1	1	1
1110.74000	5.000	1	Right	0	0	0
1139.22000	5.000	1	Center	1	1	1
1167.88000	5.000	1	Left	1	1	1
1195.32000	5.000	1	Right	1	1	1
1222.94000	5.000	1	Right	0	0	0
1266.22000	5.000	1	Right	0	0	0
1303.52000	5.000	1	Left	1	1	1
1332.92000	5.000	1	Center	0	0	0
1369.64000	5.000	1	Left	0	0	0
1395.54000	5.000	1	Left	1	1	1
1428.60000	5.000	1	Right	1	1	1
1462.24000	5.000	1	Center	0	1	0
1491.24000	5.000	1	Left	1	1	1
1526.20000	5.000	1	Left	1	1	1
1553.04000	5.000	1	Left	1	1	1
1582.06000	5.000	1	Center	0	0	0
1611.50000	5.000	1	Left	1	1	1
1637.66000	5.000	1	Center	1	1	1
1663.62000	5.000	1	Right	0	0	0
1692.46000	5.000	1	Center	1	1	1
1723.88000	5.000	1	Center	1	1	1
1750.06000	5.000	1	Right	0	0	0
1786.24000	5.000	1	Center	1	1	1
1816.96000	5.000	1	Center	1	0	0
1848.42000	5.000	1	Left	1	1	1
1874.14000	5.000	1	Left	1	1	1
1905.72000	5.000	1	Right	0	0	0
1935.44000	5.000	1	Left	1	1	1
1960.08000	5.000	1	Right	0	0	0
1989.28000	5.000	1	Left	0	0	0
2018.82000	5.000	1	Right	0	0	0
2047.38000	5.000	1	Right	0	0	0
2077.24000	5.000	1	Left	1	1	1
2106.18000	5.000	1	Left	0	0	0
2134.26000	5.000	1	Center	1	1	1
2162.32000	5.000	1	Right	0	0	0
2188.70000	5.000	1	Right	0	0	0
2215.62000	5.000	1	Center	0	0	0
2247.70000	5.000	1	Left	0	0	0
2273.12000	5.000	1	Right	0	0	0
2299.28000	5.000	1	Right	0	0	0
2334.10000	5.000	1	Center	1	1	1
2364.08000	5.000	1	Center	1	1	1
2391.42000	5.000	1	Center	0	1	0
2421.40000	5.000	1	Right	0	0	0
2446.18000	5.000	1	Left	0	0	0
2472.52000	5.000	1	Center	1	1	1
2501.90000	5.000	1	Center	1	1	1
2531.92000	5.000	1	Left	0	0	0
2559.20000	5.000	1	Left	0	0	0
2589.92000	5.000	1	Center	1	1	1
2615.80000	5.000	1	Right	0	0	0
2642.74000	5.000	1	Right	0	0	0
2669.84000	5.000	1	Left	1	1	1
