onset	duration	value	trial_type	correct_audio_response	correct_video_response	correct_both_response
24.64000	5.000	1	Right	1	0	0
58.62000	5.000	1	Center	0	1	0
96.58000	5.000	1	Right	0	1	0
128.24000	5.000	1	Right	1	1	1
157.54000	5.000	1	Right	1	1	1
200.64000	5.000	1	Center	1	1	1
229.48000	5.000	1	Right	0	1	0
260.38000	5.000	1	Center	0	1	0
286.52000	5.000	1	Center	1	1	1
315.26000	5.000	1	Right	1	1	1
341.38000	5.000	1	Right	1	1	1
369.90000	5.000	1	Left	1	1	1
396.32000	5.000	1	Right	1	1	1
427.44000	5.000	1	Center	1	1	1
456.04000	5.000	1	Right	1	1	1
485.62000	5.000	1	Left	1	1	1
511.64000	5.000	1	Left	1	1	1
538.30000	5.000	1	Center	1	1	1
572.12000	5.000	1	Left	1	1	1
602.28000	5.000	1	Left	1	1	1
632.48000	5.000	1	Left	1	1	1
661.86000	5.000	1	Right	1	1	1
692.18000	5.000	1	Center	1	1	1
718.76000	5.000	1	Right	1	1	1
746.38000	5.000	1	Center	1	1	1
772.38000	5.000	1	Center	1	1	1
800.66000	5.000	1	Center	1	1	1
826.26000	5.000	1	Right	1	1	1
853.84000	5.000	1	Center	1	1	1
883.20000	5.000	1	Left	1	1	1
911.12000	5.000	1	Left	1	1	1
937.82000	5.000	1	Left	1	1	1
968.06000	5.000	1	Center	1	1	1
994.88000	5.000	1	Left	1	1	1
1025.96000	5.000	1	Right	1	1	1
1054.96000	5.000	1	Right	1	1	1
1080.34000	5.000	1	Left	1	1	1
1107.90000	5.000	1	Right	1	1	1
1134.94000	5.000	1	Center	1	1	1
1164.78000	5.000	1	Center	1	1	1
1189.50000	5.000	1	Center	1	1	1
1218.78000	5.000	1	Left	1	1	1
1248.86000	5.000	1	Left	1	1	1
1277.88000	5.000	1	Center	1	1	1
1309.70000	5.000	1	Left	1	1	1
1337.60000	5.000	1	Right	1	1	1
1364.92000	5.000	1	Center	1	1	1
1392.18000	5.000	1	Left	1	1	1
1422.98000	5.000	1	Left	1	1	1
1452.14000	5.000	1	Center	1	1	1
1480.42000	5.000	1	Center	1	1	1
1505.66000	5.000	1	Left	1	1	1
1534.52000	5.000	1	Left	1	1	1
1560.52000	5.000	1	Left	1	1	1
1585.04000	5.000	1	Center	1	1	1
1614.78000	5.000	1	Right	1	1	1
1644.08000	5.000	1	Left	1	1	1
1669.72000	5.000	1	Right	1	1	1
1697.24000	5.000	1	Center	1	1	1
1722.42000	5.000	1	Left	1	1	1
1747.50000	5.000	1	Center	1	1	1
1776.48000	5.000	1	Center	1	1	1
1805.98000	5.000	1	Left	1	1	1
1833.40000	5.000	1	Right	1	1	1
1858.98000	5.000	1	Left	1	1	1
1888.48000	5.000	1	Right	1	1	1
1915.44000	5.000	1	Right	1	1	1
1943.82000	5.000	1	Right	1	1	1
1969.84000	5.000	1	Center	1	1	1
1995.08000	5.000	1	Center	1	1	1
2022.72000	5.000	1	Right	1	1	1
2049.56000	5.000	1	Right	1	0	0
2078.72000	5.000	1	Right	1	1	1
2105.30000	5.000	1	Right	1	1	1
2131.28000	5.000	1	Left	1	1	1
2158.04000	5.000	1	Center	1	1	1
2186.90000	5.000	1	Left	1	1	1
2217.34000	5.000	1	Left	1	1	1
2242.34000	5.000	1	Right	1	1	1
2268.86000	5.000	1	Left	1	1	1
2297.22000	5.000	1	Left	1	1	1
2322.66000	5.000	1	Center	1	1	1
2347.84000	5.000	1	Left	1	1	1
2374.18000	5.000	1	Center	1	1	1
2399.48000	5.000	1	Right	1	1	1
2425.62000	5.000	1	Left	1	1	1
2452.70000	5.000	1	Right	1	1	1
2478.10000	5.000	1	Right	1	1	1
2503.46000	5.000	1	Center	1	1	1
2536.78000	5.000	1	Center	1	1	1
