name	type	x	y	z
S1	source	-50.0	10.0	0
S2	source	-50.0	-10.0	0
S3	source	-50.0	30.0	0
S4	source	50.0	30.0	0
S5	source	50.0	10.0	0
S6	source	50.0	-10.0	0
S7	source	-125.0	-45.0	0
S8	source	125.0	-45.0	0
S9	source	-26.0	-92.4	0
S10	source	26.0	-92.4	0
S11	source	-26.0	-63.6	0
S12	source	26.0	-63.6	0
D1	detector	-22.0	0.0	0
D2	detector	-78.0	0.0	0
D3	detector	-22.0	20.0	0
D4	detector	-78.0	20.0	0
D5	detector	-22.0	40.0	0
D6	detector	-78.0	40.0	0
D7	detector	22.0	0.0	0
D8	detector	78.0	0.0	0
D9	detector	22.0	20.0	0
D10	detector	78.0	20.0	0
D11	detector	22.0	40.0	0
D12	detector	78.0	40.0	0
D13	detector	0.0	-78.0	0
D14	detector	-52.0	-78.0	0
D15	detector	52.0	-78.0	0
D16	detector	-125.0	-17.0	0
D17	detector	125.0	-17.0	0
D18	detector	-50.0	-18.0	0
D19	detector	50.0	-18.0	0
D20	detector	-26.0	-100.4	0
D21	detector	26.0	-100.4	0
D22	detector	-125.0	-53.0	0
D23	detector	125.0	-53.0	0
