name	type	source	detector	wavelength_nominal	units
S1-D1-690.0	MISC	S1	D1	690.0	AU
S1-D2-690.0	MISC	S1	D2	690.0	AU
S1-D3-690.0	MISC	S1	D3	690.0	AU
S1-D4-690.0	MISC	S1	D4	690.0	AU
S2-D1-690.0	MISC	S2	D1	690.0	AU
S2-D2-690.0	MISC	S2	D2	690.0	AU
S2-D20-690.0	MISC	S2	D20	690.0	AU
S3-D3-690.0	MISC	S3	D3	690.0	AU
S3-D4-690.0	MISC	S3	D4	690.0	AU
S3-D5-690.0	MISC	S3	D5	690.0	AU
S3-D6-690.0	MISC	S3	D6	690.0	AU
S4-D9-690.0	MISC	S4	D9	690.0	AU
S4-D10-690.0	MISC	S4	D10	690.0	AU
S4-D11-690.0	MISC	S4	D11	690.0	AU
S4-D12-690.0	MISC	S4	D12	690.0	AU
S5-D7-690.0	MISC	S5	D7	690.0	AU
S5-D8-690.0	MISC	S5	D8	690.0	AU
S5-D9-690.0	MISC	S5	D9	690.0	AU
S5-D10-690.0	MISC	S5	D10	690.0	AU
S6-D7-690.0	MISC	S6	D7	690.0	AU
S6-D8-690.0	MISC	S6	D8	690.0	AU
S6-D21-690.0	MISC	S6	D21	690.0	AU
S7-D18-690.0	MISC	S7	D18	690.0	AU
S7-D24-690.0	MISC	S7	D24	690.0	AU
S8-D19-690.0	MISC	S8	D19	690.0	AU
S8-D25-690.0	MISC	S8	D25	690.0	AU
S9-D13-690.0	MISC	S9	D13	690.0	AU
S9-D14-690.0	MISC	S9	D14	690.0	AU
S9-D16-690.0	MISC	S9	D16	690.0	AU
S9-D22-690.0	MISC	S9	D22	690.0	AU
S10-D13-690.0	MISC	S10	D13	690.0	AU
S10-D15-690.0	MISC	S10	D15	690.0	AU
S10-D17-690.0	MISC	S10	D17	690.0	AU
S10-D23-690.0	MISC	S10	D23	690.0	AU
S11-D13-690.0	MISC	S11	D13	690.0	AU
S11-D14-690.0	MISC	S11	D14	690.0	AU
S12-D13-690.0	MISC	S12	D13	690.0	AU
S12-D15-690.0	MISC	S12	D15	690.0	AU
S13-D26-690.0	MISC	S13	D26	690.0	AU
S13-D28-690.0	MISC	S13	D28	690.0	AU
S14-D27-690.0	MISC	S14	D27	690.0	AU
S14-D29-690.0	MISC	S14	D29	690.0	AU
S1-D1-830.0	MISC	S1	D1	830.0	AU
S1-D2-830.0	MISC	S1	D2	830.0	AU
S1-D3-830.0	MISC	S1	D3	830.0	AU
S1-D4-830.0	MISC	S1	D4	830.0	AU
S2-D1-830.0	MISC	S2	D1	830.0	AU
S2-D2-830.0	MISC	S2	D2	830.0	AU
S2-D20-830.0	MISC	S2	D20	830.0	AU
S3-D3-830.0	MISC	S3	D3	830.0	AU
S3-D4-830.0	MISC	S3	D4	830.0	AU
S3-D5-830.0	MISC	S3	D5	830.0	AU
S3-D6-830.0	MISC	S3	D6	830.0	AU
S4-D9-830.0	MISC	S4	D9	830.0	AU
S4-D10-830.0	MISC	S4	D10	830.0	AU
S4-D11-830.0	MISC	S4	D11	830.0	AU
S4-D12-830.0	MISC	S4	D12	830.0	AU
S5-D7-830.0	MISC	S5	D7	830.0	AU
S5-D8-830.0	MISC	S5	D8	830.0	AU
S5-D9-830.0	MISC	S5	D9	830.0	AU
S5-D10-830.0	MISC	S5	D10	830.0	AU
S6-D7-830.0	MISC	S6	D7	830.0	AU
S6-D8-830.0	MISC	S6	D8	830.0	AU
S6-D21-830.0	MISC	S6	D21	830.0	AU
S7-D18-830.0	MISC	S7	D18	830.0	AU
S7-D24-830.0	MISC	S7	D24	830.0	AU
S8-D19-830.0	MISC	S8	D19	830.0	AU
S8-D25-830.0	MISC	S8	D25	830.0	AU
S9-D13-830.0	MISC	S9	D13	830.0	AU
S9-D14-830.0	MISC	S9	D14	830.0	AU
S9-D16-830.0	MISC	S9	D16	830.0	AU
S9-D22-830.0	MISC	S9	D22	830.0	AU
S10-D13-830.0	MISC	S10	D13	830.0	AU
S10-D15-830.0	MISC	S10	D15	830.0	AU
S10-D17-830.0	MISC	S10	D17	830.0	AU
S10-D23-830.0	MISC	S10	D23	830.0	AU
S11-D13-830.0	MISC	S11	D13	830.0	AU
S11-D14-830.0	MISC	S11	D14	830.0	AU
S12-D13-830.0	MISC	S12	D13	830.0	AU
S12-D15-830.0	MISC	S12	D15	830.0	AU
S13-D26-830.0	MISC	S13	D26	830.0	AU
S13-D28-830.0	MISC	S13	D28	830.0	AU
S14-D27-830.0	MISC	S14	D27	830.0	AU
S14-D29-830.0	MISC	S14	D29	830.0	AU
