onset	duration	value	trial_type	correct_audio_response	correct_video_response	correct_both_response
22.36000	5.000	1	Left	1	1	1
225.20000	5.000	1	Center	1	1	1
367.44000	5.000	1	Center	1	1	1
396.88000	5.000	1	Center	1	1	1
424.80000	5.000	1	Center	1	1	1
452.92000	5.000	1	Right	1	1	1
483.68000	5.000	1	Right	1	1	1
511.52000	5.000	1	Right	1	1	1
572.10000	5.000	1	Left	1	1	1
604.34000	5.000	1	Left	1	1	1
633.16000	5.000	1	Left	1	1	1
660.44000	5.000	1	Left	1	1	1
689.56000	5.000	1	Center	1	1	1
746.92000	5.000	1	Center	1	1	1
776.64000	5.000	1	Left	1	1	1
892.46000	5.000	1	Center	1	1	1
923.48000	5.000	1	Right	1	1	1
1006.86000	5.000	1	Center	1	1	1
1100.32000	5.000	1	Right	1	1	1
1130.12000	5.000	1	Right	1	1	1
1156.40000	5.000	1	Right	1	1	1
1275.68000	5.000	1	Center	1	1	1
1305.76000	5.000	1	Right	1	1	1
1363.94000	5.000	1	Center	1	1	1
1395.32000	5.000	1	Right	0	1	0
1484.68000	5.000	1	Center	1	1	1
1571.72000	5.000	1	Left	0	1	0
1608.54000	5.000	1	Right	1	1	1
1673.88000	5.000	1	Center	1	1	1
1873.86000	5.000	1	Left	1	1	1
1937.50000	5.000	1	Center	1	1	1
1966.12000	5.000	1	Left	1	1	1
2047.40000	5.000	1	Right	1	1	1
2106.66000	5.000	1	Center	1	1	1
2138.44000	5.000	1	Left	1	1	1
2168.82000	5.000	1	Right	1	1	1
2336.12000	5.000	1	Left	1	1	1
2427.92000	5.000	1	Right	1	1	1
2464.40000	5.000	1	Center	1	1	1
2520.82000	5.000	1	Center	0	1	0
2604.46000	5.000	1	Right	1	1	1
2636.36000	5.000	1	Left	1	1	1
2663.40000	5.000	1	Right	1	1	1
2754.84000	5.000	1	Right	1	1	1
