onset	duration	value	trial_type	correct_audio_response	correct_video_response	correct_both_response
15.72000	5.000	1	Right	1	1	1
43.82000	5.000	1	Center	1	1	1
80.98000	5.000	1	Right	1	1	1
107.80000	5.000	1	Right	1	1	1
138.44000	5.000	1	Right	1	1	1
164.00000	5.000	1	Center	1	1	1
196.10000	5.000	1	Right	1	1	1
223.38000	5.000	1	Center	1	1	1
254.48000	5.000	1	Center	1	1	1
292.70000	5.000	1	Right	0	1	0
327.98000	5.000	1	Right	1	1	1
361.68000	5.000	1	Left	1	1	1
401.64000	5.000	1	Right	1	1	1
433.10000	5.000	1	Center	0	1	0
476.80000	5.000	1	Right	1	1	1
501.30000	5.000	1	Left	1	1	1
529.58000	5.000	1	Left	1	1	1
557.80000	5.000	1	Center	1	1	1
585.76000	5.000	1	Left	1	1	1
619.74000	5.000	1	Left	1	1	1
649.32000	5.000	1	Left	1	1	1
678.20000	5.000	1	Right	1	1	1
706.82000	5.000	1	Center	1	1	1
734.12000	5.000	1	Right	1	1	1
763.54000	5.000	1	Center	1	1	1
791.58000	5.000	1	Center	1	1	1
820.68000	5.000	1	Center	1	1	1
853.16000	5.000	1	Right	1	1	1
879.96000	5.000	1	Center	1	1	1
908.26000	5.000	1	Left	1	1	1
934.40000	5.000	1	Left	1	1	1
961.12000	5.000	1	Left	0	1	0
997.68000	5.000	1	Center	1	1	1
1022.98000	5.000	1	Left	0	1	0
1063.42000	5.000	1	Right	1	1	1
1091.84000	5.000	1	Right	1	1	1
1122.58000	5.000	1	Left	1	1	1
1153.24000	5.000	1	Right	1	1	1
1182.04000	5.000	1	Center	1	1	1
1220.52000	5.000	1	Center	1	1	1
1249.26000	5.000	1	Center	1	1	1
1284.76000	5.000	1	Left	1	1	1
1320.58000	5.000	1	Left	1	1	1
1348.64000	5.000	1	Center	1	1	1
1381.16000	5.000	1	Left	1	1	1
1410.34000	5.000	1	Right	1	1	1
1434.00000	5.000	1	Center	1	1	1
1461.44000	5.000	1	Left	1	1	1
1493.74000	5.000	1	Left	1	1	1
1520.90000	5.000	1	Center	1	1	1
1554.58000	5.000	1	Center	1	1	1
1583.04000	5.000	1	Left	1	1	1
1608.82000	5.000	1	Left	1	1	1
1637.34000	5.000	1	Left	1	1	1
1664.00000	5.000	1	Center	1	1	1
1696.28000	5.000	1	Right	1	1	1
1722.12000	5.000	1	Left	1	1	1
1747.66000	5.000	1	Right	1	1	1
1775.34000	5.000	1	Center	1	1	1
1804.34000	5.000	1	Left	1	1	1
1835.32000	5.000	1	Center	1	1	1
1866.70000	5.000	1	Center	1	1	1
1893.88000	5.000	1	Left	1	1	1
1922.24000	5.000	1	Right	1	1	1
1947.88000	5.000	1	Left	1	1	1
1974.08000	5.000	1	Right	1	1	1
2000.14000	5.000	1	Right	1	1	1
2032.70000	5.000	1	Right	1	1	1
2059.72000	5.000	1	Center	1	1	1
2086.30000	5.000	1	Center	1	1	1
2112.30000	5.000	1	Right	1	1	1
2138.46000	5.000	1	Right	1	1	1
2170.88000	5.000	1	Right	0	1	0
2202.64000	5.000	1	Right	1	1	1
2229.28000	5.000	1	Left	1	1	1
2260.94000	5.000	1	Center	1	1	1
2286.00000	5.000	1	Left	1	1	1
2316.34000	5.000	1	Left	1	1	1
2341.28000	5.000	1	Right	1	1	1
2368.78000	5.000	1	Left	1	1	1
2398.80000	5.000	1	Left	1	1	1
2423.30000	5.000	1	Center	1	1	1
2447.66000	5.000	1	Left	1	1	1
2474.52000	5.000	1	Center	1	1	1
2500.78000	5.000	1	Right	1	1	1
2534.32000	5.000	1	Left	1	1	1
2562.68000	5.000	1	Right	1	1	1
2588.66000	5.000	1	Right	1	1	1
2613.94000	5.000	1	Center	1	1	1
2646.96000	5.000	1	Center	1	1	1
