onset	duration	value	trial_type	correct_audio_response	correct_video_response	correct_both_response
27.88000	5.000	1	Right	0	1	0
76.94000	5.000	1	Center	0	1	0
105.10000	5.000	1	Right	1	0	0
140.00000	5.000	1	Right	1	1	1
166.62000	5.000	1	Right	1	1	1
197.76000	5.000	1	Center	1	1	1
225.64000	5.000	1	Right	1	1	1
254.66000	5.000	1	Center	0	1	0
281.34000	5.000	1	Center	1	1	1
309.80000	5.000	1	Right	0	0	0
344.54000	5.000	1	Right	0	1	0
374.40000	5.000	1	Left	1	1	1
401.28000	5.000	1	Right	1	1	1
435.04000	5.000	1	Center	1	1	1
464.64000	5.000	1	Right	1	1	1
491.34000	5.000	1	Left	1	1	1
518.78000	5.000	1	Left	1	1	1
545.96000	5.000	1	Center	1	1	1
576.70000	5.000	1	Left	1	1	1
609.80000	5.000	1	Left	0	1	0
641.10000	5.000	1	Left	1	1	1
668.86000	5.000	1	Right	0	1	0
700.26000	5.000	1	Center	1	1	1
728.06000	5.000	1	Right	0	1	0
756.54000	5.000	1	Center	1	1	1
787.42000	5.000	1	Center	0	1	0
813.18000	5.000	1	Center	1	1	1
844.70000	5.000	1	Right	1	1	1
871.90000	5.000	1	Center	1	1	1
910.22000	5.000	1	Left	1	1	1
936.42000	5.000	1	Left	1	1	1
967.52000	5.000	1	Left	1	1	1
1000.34000	5.000	1	Center	1	1	1
1026.90000	5.000	1	Left	1	1	1
1061.22000	5.000	1	Right	1	1	1
1086.90000	5.000	1	Right	0	0	0
1115.98000	5.000	1	Left	1	1	1
1142.60000	5.000	1	Right	1	1	1
1168.48000	5.000	1	Center	1	1	1
1204.02000	5.000	1	Center	1	1	1
1231.80000	5.000	1	Center	1	1	1
1261.42000	5.000	1	Left	1	1	1
1298.40000	5.000	1	Left	1	1	1
1326.86000	5.000	1	Center	1	1	1
1356.78000	5.000	1	Left	1	1	1
1382.96000	5.000	1	Right	1	1	1
1409.32000	5.000	1	Center	0	1	0
1438.52000	5.000	1	Left	1	1	1
1474.34000	5.000	1	Left	1	1	1
1500.52000	5.000	1	Center	1	1	1
1524.30000	5.000	1	Center	1	1	1
1549.02000	5.000	1	Left	1	1	1
1576.42000	5.000	1	Left	0	1	0
1603.94000	5.000	1	Left	0	1	0
1639.82000	5.000	1	Center	1	1	1
1669.82000	5.000	1	Right	1	1	1
1698.80000	5.000	1	Left	1	1	1
1726.02000	5.000	1	Right	1	1	1
1751.50000	5.000	1	Center	1	1	1
1777.26000	5.000	1	Left	1	1	1
1809.30000	5.000	1	Center	1	1	1
1839.22000	5.000	1	Center	1	1	1
1870.76000	5.000	1	Left	1	1	1
1901.08000	5.000	1	Right	1	1	1
1925.14000	5.000	1	Left	1	1	1
1953.52000	5.000	1	Right	1	1	1
1983.54000	5.000	1	Right	0	1	0
2018.26000	5.000	1	Right	1	1	1
2054.28000	5.000	1	Center	1	1	1
2080.18000	5.000	1	Center	1	1	1
2107.80000	5.000	1	Right	1	1	1
2140.88000	5.000	1	Right	1	1	1
2167.36000	5.000	1	Right	0	1	0
2200.88000	5.000	1	Right	1	1	1
2229.00000	5.000	1	Left	1	1	1
2262.12000	5.000	1	Center	1	1	1
2289.68000	5.000	1	Left	0	0	0
2325.38000	5.000	1	Left	1	1	1
2349.98000	5.000	1	Right	1	1	1
2379.78000	5.000	1	Left	0	1	0
2407.00000	5.000	1	Left	0	1	0
2434.80000	5.000	1	Center	1	1	1
2459.58000	5.000	1	Left	1	1	1
2486.62000	5.000	1	Center	1	1	1
2514.16000	5.000	1	Right	1	1	1
2542.70000	5.000	1	Left	1	1	1
2566.22000	5.000	1	Right	1	1	1
2594.34000	5.000	1	Right	1	1	1
2623.04000	5.000	1	Center	1	1	1
2651.26000	5.000	1	Center	1	1	1
