onset	duration	value	trial_type	correct_audio_response	correct_video_response	correct_both_response
17.98000	5.000	1	Right	1	0	0
52.52000	5.000	1	Center	0	0	0
93.38000	5.000	1	Right	0	1	0
129.46000	5.000	1	Right	1	1	1
157.82000	5.000	1	Right	1	1	1
190.56000	5.000	1	Center	0	0	0
221.34000	5.000	1	Right	1	1	1
253.56000	5.000	1	Center	0	1	0
284.10000	5.000	1	Center	1	1	1
311.48000	5.000	1	Right	0	1	0
339.52000	5.000	1	Right	0	1	0
374.80000	5.000	1	Left	1	1	1
401.70000	5.000	1	Right	0	1	0
430.80000	5.000	1	Center	1	1	1
465.98000	5.000	1	Right	1	1	1
493.90000	5.000	1	Left	1	0	0
523.06000	5.000	1	Left	1	1	1
554.60000	5.000	1	Center	1	1	1
593.32000	5.000	1	Left	1	1	1
623.84000	5.000	1	Left	1	1	1
657.10000	5.000	1	Left	1	1	1
691.08000	5.000	1	Right	0	1	0
717.88000	5.000	1	Center	1	1	1
746.72000	5.000	1	Right	1	1	1
776.12000	5.000	1	Center	1	1	1
808.06000	5.000	1	Center	1	1	1
834.82000	5.000	1	Center	1	1	1
860.74000	5.000	1	Right	1	1	1
891.04000	5.000	1	Center	1	1	1
921.22000	5.000	1	Left	1	1	1
950.30000	5.000	1	Left	1	1	1
979.66000	5.000	1	Left	1	1	1
1010.26000	5.000	1	Center	1	1	1
1038.54000	5.000	1	Left	0	1	0
1068.82000	5.000	1	Right	1	1	1
1095.76000	5.000	1	Right	1	1	1
1123.38000	5.000	1	Left	1	1	1
1149.32000	5.000	1	Right	1	1	1
1174.72000	5.000	1	Center	0	1	0
1210.98000	5.000	1	Center	1	1	1
1237.80000	5.000	1	Center	1	1	1
1266.12000	5.000	1	Left	1	1	1
1300.18000	5.000	1	Left	1	1	1
1328.60000	5.000	1	Center	0	1	0
1360.58000	5.000	1	Left	1	1	1
1387.92000	5.000	1	Right	1	1	1
1413.62000	5.000	1	Center	1	1	1
1439.52000	5.000	1	Left	1	1	1
1471.80000	5.000	1	Left	1	1	1
1500.58000	5.000	1	Center	1	1	1
1529.86000	5.000	1	Center	1	1	1
1554.62000	5.000	1	Left	1	1	1
1580.66000	5.000	1	Left	1	1	1
1611.20000	5.000	1	Left	0	1	0
1636.16000	5.000	1	Center	1	1	1
1667.46000	5.000	1	Right	1	1	1
1692.82000	5.000	1	Left	1	1	1
1719.10000	5.000	1	Right	1	1	1
1747.08000	5.000	1	Center	1	1	1
1774.16000	5.000	1	Left	1	1	1
1802.94000	5.000	1	Center	1	1	1
1831.12000	5.000	1	Center	1	1	1
1863.80000	5.000	1	Left	1	1	1
1895.74000	5.000	1	Right	1	1	1
1921.98000	5.000	1	Left	1	1	1
1951.84000	5.000	1	Right	1	1	1
1979.22000	5.000	1	Right	0	1	0
2012.10000	5.000	1	Right	1	1	1
2042.16000	5.000	1	Center	1	1	1
2069.38000	5.000	1	Center	1	1	1
2100.20000	5.000	1	Right	1	1	1
2129.36000	5.000	1	Right	0	1	0
2164.70000	5.000	1	Right	0	1	0
2198.62000	5.000	1	Right	1	1	1
2224.66000	5.000	1	Left	1	1	1
2261.62000	5.000	1	Center	1	1	1
2290.66000	5.000	1	Left	1	1	1
2318.80000	5.000	1	Left	1	1	1
2342.68000	5.000	1	Right	1	1	1
2371.36000	5.000	1	Left	1	1	1
2399.94000	5.000	1	Left	0	1	0
2429.34000	5.000	1	Center	1	1	1
2458.80000	5.000	1	Left	0	1	0
2490.96000	5.000	1	Center	1	1	1
2522.72000	5.000	1	Right	0	1	0
2547.16000	5.000	1	Left	1	1	1
2576.40000	5.000	1	Right	1	1	1
2600.42000	5.000	1	Right	1	1	1
2627.82000	5.000	1	Center	1	1	1
2658.26000	5.000	1	Center	1	1	1
