onset	duration	value	trial_type	correct_audio_response	correct_video_response	correct_both_response
30.76000	5.000	1	Right	1	1	1
69.00000	5.000	1	Center	0	1	0
104.32000	5.000	1	Right	1	1	1
136.24000	5.000	1	Right	1	1	1
168.78000	5.000	1	Right	1	1	1
196.28000	5.000	1	Center	1	1	1
224.80000	5.000	1	Right	1	1	1
254.42000	5.000	1	Center	1	1	1
281.74000	5.000	1	Center	1	1	1
309.92000	5.000	1	Right	1	1	1
337.64000	5.000	1	Right	0	1	0
365.44000	5.000	1	Left	1	1	1
398.42000	5.000	1	Right	1	1	1
432.94000	5.000	1	Center	1	1	1
469.22000	5.000	1	Right	1	1	1
504.64000	5.000	1	Left	1	1	1
537.76000	5.000	1	Left	1	1	1
568.96000	5.000	1	Center	1	1	1
601.76000	5.000	1	Left	1	1	1
631.82000	5.000	1	Left	1	1	1
663.52000	5.000	1	Left	1	1	1
696.78000	5.000	1	Right	1	1	1
739.12000	5.000	1	Center	1	1	1
767.16000	5.000	1	Right	1	1	1
794.62000	5.000	1	Center	1	1	1
822.78000	5.000	1	Center	1	1	1
851.32000	5.000	1	Center	1	1	1
880.88000	5.000	1	Right	1	1	1
914.44000	5.000	1	Center	1	1	1
945.06000	5.000	1	Left	1	1	1
974.40000	5.000	1	Left	1	1	1
1004.74000	5.000	1	Left	1	1	1
1033.60000	5.000	1	Center	1	1	1
1065.42000	5.000	1	Left	1	1	1
1094.38000	5.000	1	Right	1	1	1
1123.84000	5.000	1	Right	1	1	1
1150.14000	5.000	1	Left	1	1	1
1183.34000	5.000	1	Right	1	1	1
1210.02000	5.000	1	Center	1	1	1
1238.54000	5.000	1	Center	1	1	1
1266.08000	5.000	1	Center	1	1	1
1294.50000	5.000	1	Left	1	1	1
1326.30000	5.000	1	Left	1	1	1
1355.86000	5.000	1	Center	1	1	1
1386.72000	5.000	1	Left	1	1	1
1417.60000	5.000	1	Right	1	1	1
1446.88000	5.000	1	Center	1	1	1
1475.96000	5.000	1	Left	1	1	1
1506.58000	5.000	1	Left	1	1	1
1536.20000	5.000	1	Center	1	1	1
1565.20000	5.000	1	Center	1	1	1
1594.02000	5.000	1	Left	1	1	1
1625.24000	5.000	1	Left	1	1	1
1654.60000	5.000	1	Left	1	1	1
1686.62000	5.000	1	Center	1	1	1
1718.84000	5.000	1	Right	1	1	1
1748.02000	5.000	1	Left	1	1	1
1776.32000	5.000	1	Right	1	1	1
1808.36000	5.000	1	Center	1	1	1
1837.66000	5.000	1	Left	1	1	1
1866.36000	5.000	1	Center	1	1	1
1896.54000	5.000	1	Center	1	1	1
1927.38000	5.000	1	Left	1	1	1
1958.44000	5.000	1	Right	1	1	1
1984.96000	5.000	1	Left	1	1	1
2013.04000	5.000	1	Right	1	1	1
2040.88000	5.000	1	Right	1	1	1
2073.38000	5.000	1	Right	1	1	1
2100.62000	5.000	1	Center	1	1	1
2127.26000	5.000	1	Center	1	1	1
2155.08000	5.000	1	Right	1	1	1
2183.70000	5.000	1	Right	1	1	1
2210.26000	5.000	1	Right	1	1	1
2242.16000	5.000	1	Right	1	1	1
2271.04000	5.000	1	Left	1	1	1
2299.86000	5.000	1	Center	1	1	1
2329.30000	5.000	1	Left	1	1	1
2369.92000	5.000	1	Left	1	1	1
2397.24000	5.000	1	Right	1	0	0
2426.76000	5.000	1	Left	1	1	1
2453.70000	5.000	1	Left	1	1	1
2487.92000	5.000	1	Center	1	1	1
2517.50000	5.000	1	Left	1	1	1
2549.92000	5.000	1	Center	1	1	1
2580.74000	5.000	1	Right	1	1	1
2613.00000	5.000	1	Left	1	1	1
2649.98000	5.000	1	Right	1	1	1
2679.02000	5.000	1	Right	1	1	1
2707.88000	5.000	1	Center	1	1	1
2738.38000	5.000	1	Center	1	1	1
