onset	duration	value	trial_type	correct_audio_response	correct_video_response	correct_both_response
0.08000	5.000	1	Right	1	1	1
28.16000	5.000	1	Center	0	1	0
58.24000	5.000	1	Right	1	1	1
87.80000	5.000	1	Right	1	1	1
115.28000	5.000	1	Right	1	1	1
141.00000	5.000	1	Center	1	1	1
167.34000	5.000	1	Right	1	1	1
194.90000	5.000	1	Center	0	1	0
219.94000	5.000	1	Center	1	1	1
246.70000	5.000	1	Right	1	1	1
283.66000	5.000	1	Right	1	1	1
309.86000	5.000	1	Left	0	1	0
335.36000	5.000	1	Right	1	1	1
361.20000	5.000	1	Center	1	1	1
389.70000	5.000	1	Right	0	1	0
415.18000	5.000	1	Left	1	1	1
442.02000	5.000	1	Left	0	1	0
471.82000	5.000	1	Center	1	1	1
504.88000	5.000	1	Left	1	1	1
532.96000	5.000	1	Left	1	1	1
563.18000	5.000	1	Left	0	1	0
591.10000	5.000	1	Right	1	1	1
619.38000	5.000	1	Center	1	1	1
649.20000	5.000	1	Right	1	1	1
674.60000	5.000	1	Center	1	1	1
702.52000	5.000	1	Center	1	1	1
733.96000	5.000	1	Center	1	1	1
762.72000	5.000	1	Right	1	1	1
788.96000	5.000	1	Center	1	1	1
818.86000	5.000	1	Left	1	1	1
845.38000	5.000	1	Left	1	1	1
873.00000	5.000	1	Left	0	1	0
902.56000	5.000	1	Center	1	1	1
933.90000	5.000	1	Left	0	1	0
962.76000	5.000	1	Right	1	1	1
987.32000	5.000	1	Right	1	1	1
1013.48000	5.000	1	Left	1	1	1
1038.68000	5.000	1	Right	1	1	1
1063.36000	5.000	1	Center	0	1	0
1089.50000	5.000	1	Center	1	1	1
1115.40000	5.000	1	Center	1	1	1
1140.86000	5.000	1	Left	0	1	0
1167.40000	5.000	1	Left	0	0	0
1194.12000	5.000	1	Center	1	1	1
1221.64000	5.000	1	Left	0	1	0
1250.94000	5.000	1	Right	1	1	1
1280.42000	5.000	1	Center	1	1	1
1306.92000	5.000	1	Left	1	1	1
1332.96000	5.000	1	Left	1	1	1
1358.86000	5.000	1	Center	1	1	1
1387.34000	5.000	1	Center	1	1	1
1412.34000	5.000	1	Left	1	1	1
1437.10000	5.000	1	Left	1	1	1
1463.38000	5.000	1	Left	1	1	1
1489.06000	5.000	1	Center	1	1	1
1517.04000	5.000	1	Right	1	1	1
1543.98000	5.000	1	Left	1	1	1
1568.28000	5.000	1	Right	1	1	1
1595.72000	5.000	1	Center	1	1	1
1621.20000	5.000	1	Left	1	1	1
1648.34000	5.000	1	Center	0	1	0
1676.86000	5.000	1	Center	1	1	1
1702.10000	5.000	1	Left	1	1	1
1727.56000	5.000	1	Right	1	1	1
1753.28000	5.000	1	Left	0	1	0
1782.14000	5.000	1	Right	0	1	0
1810.94000	5.000	1	Right	0	1	0
1835.96000	5.000	1	Right	1	1	1
1862.94000	5.000	1	Center	0	1	0
1888.20000	5.000	1	Center	1	1	1
1913.14000	5.000	1	Right	1	1	1
1940.56000	5.000	1	Right	1	1	1
1965.70000	5.000	1	Right	0	1	0
1991.44000	5.000	1	Right	1	1	1
2017.92000	5.000	1	Left	0	1	0
2042.52000	5.000	1	Center	1	1	1
2065.90000	5.000	1	Left	0	1	0
2089.44000	5.000	1	Left	1	1	1
2114.08000	5.000	1	Right	1	1	1
2140.50000	5.000	1	Left	1	1	1
2165.04000	5.000	1	Left	1	1	1
2190.58000	5.000	1	Center	1	1	1
2215.24000	5.000	1	Left	0	1	0
2239.56000	5.000	1	Center	0	1	0
2265.34000	5.000	1	Right	1	1	1
2291.14000	5.000	1	Left	0	1	0
2318.26000	5.000	1	Right	1	1	1
2342.26000	5.000	1	Right	1	1	1
2368.76000	5.000	1	Center	1	1	1
2397.16000	5.000	1	Center	1	1	1
